radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
castor-bay,20260415,1200,lp,dataset3,1.95,153000,4271,0.027915032679738563,-6.19999885559082,0,0,153000,4529,87359,28115,18485,5.16,6.53,23.059999465942383,23.25,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/lp/20260415_polar_pl_radar07_aggregate_lp_1200.h5
castor-bay,20260415,1200,lp,dataset4,2.95,153000,4678,0.03057516339869281,-6.5,0,0,153000,4495,88938,26183,19636,5.23,6.53,23.010000228881836,23.200000762939453,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/lp/20260415_polar_pl_radar07_aggregate_lp_1200.h5
castor-bay,20260415,1200,lp,dataset5,3.95,153000,4932,0.032235294117647056,-5.69999885559082,0,0,153000,4069,88422,26128,20213,5.16,6.36,22.979999542236328,23.170000076293945,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/lp/20260415_polar_pl_radar07_aggregate_lp_1200.h5
castor-bay,20260415,1200,sp,dataset1,0.95,68040,9730,0.14300411522633744,14.299999237060547,5732,0,68040,4606,53553,11984,29801,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260415,1200,sp,dataset2,1.95,68040,12553,0.1844944150499706,14.10000228881836,6105,0,68040,1210,60545,6272,34726,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260415,1200,sp,dataset3,3.95,68040,13631,0.20033803644914755,14.0,6181,0,68040,1045,61203,5205,38453,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260415,1200,sp,dataset4,6.0,68040,14348,0.21087595532039977,14.0,6424,0,68040,999,62038,4727,42692,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260415,1200,sp,dataset5,8.95,68040,15977,0.2348177542621987,14.0,6618,0,68040,791,62740,4197,47236,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260415,1200,sp,dataset6,89.9,57600,950,0.016493055555555556,-6.100000381469727,0,0,57600,6250,33383,12013,6752,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/04/15/sp/20260415_polar_pl_radar07_aggregate_sp_1200.h5
castor-bay,20260711,2100,lp,dataset1,0.5,153000,21119,0.1380326797385621,-7.899999618530273,0,0,153000,12904,126098,37458,45454,6.41,7.09,23.469999313354492,23.420000076293945,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/lp/20260711_polar_pl_radar07_aggregate_lp_2100.h5
